benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
encrypt,32,2048,35000,1,7.651148319244385,18.7109375,0.9136199951171875
encrypt,32,2048,35000,2,7.671202898025513,18.7109375,0.9136199951171875
encrypt,32,2048,35000,3,7.663347244262695,18.7109375,0.9136199951171875
encrypt,32,2048,35000,4,7.6778271198272705,18.7109375,0.9136199951171875
encrypt,32,2048,35000,5,7.6576619148254395,18.7109375,0.9136199951171875
encrypt,32,2048,35000,6,7.6669721603393555,18.7109375,0.9136199951171875
encrypt,32,2048,35000,7,7.644064664840698,18.7109375,0.9136199951171875
encrypt,32,2048,35000,8,7.6486289501190186,18.7109375,0.9136199951171875
encrypt,32,2048,35000,9,7.653942584991455,18.7109375,0.9136199951171875
encrypt,32,2048,35000,10,7.7490317821502686,18.7109375,0.9136199951171875
encrypt,96,2048,500,1,0.12404918670654297,18.4296875,0.8998870849609375
encrypt,96,2048,500,2,0.12804937362670898,18.4296875,0.8998870849609375
encrypt,96,2048,500,3,0.12911224365234375,18.4296875,0.8998870849609375
encrypt,96,2048,500,4,0.1271228790283203,18.4296875,0.8998870849609375
encrypt,96,2048,500,5,0.1276547908782959,18.4296875,0.8998870849609375
encrypt,96,2048,500,6,0.12431001663208008,18.4296875,0.8998870849609375
encrypt,96,2048,500,7,0.12453889846801758,18.4296875,0.8998870849609375
encrypt,96,2048,500,8,0.127335786819458,18.4296875,0.8998870849609375
encrypt,96,2048,500,9,0.12710976600646973,18.4296875,0.8998870849609375
encrypt,96,2048,500,10,0.12486457824707031,18.4296875,0.8998870849609375
encrypt,48,2048,5000,1,1.1270873546600342,18.6328125,0.9098052978515625
encrypt,48,2048,5000,2,1.109666109085083,18.6328125,0.9098052978515625
encrypt,48,2048,5000,3,1.1065216064453125,18.6328125,0.9098052978515625
encrypt,48,2048,5000,4,1.105818271636963,18.6328125,0.9098052978515625
encrypt,48,2048,5000,5,1.1069080829620361,18.6328125,0.9098052978515625
encrypt,48,2048,5000,6,1.1095240116119385,18.6328125,0.9098052978515625
encrypt,48,2048,5000,7,1.1099610328674316,18.6328125,0.9098052978515625
encrypt,48,2048,5000,8,1.10941743850708,18.6328125,0.9098052978515625
encrypt,48,2048,5000,9,1.1079702377319336,18.6328125,0.9098052978515625
encrypt,48,2048,5000,10,1.1069676876068115,18.6328125,0.9098052978515625
encrypt,16,2048,10000,1,2.2241930961608887,18.7578125,0.9159088134765625
encrypt,16,2048,10000,2,2.2033514976501465,18.7578125,0.9159088134765625
encrypt,16,2048,10000,3,2.1862668991088867,18.7578125,0.9159088134765625
encrypt,16,2048,10000,4,2.1886353492736816,18.7578125,0.9159088134765625
encrypt,16,2048,10000,5,2.204561233520508,18.7578125,0.9159088134765625
encrypt,16,2048,10000,6,2.2056143283843994,18.7578125,0.9159088134765625
encrypt,16,2048,10000,7,2.1923294067382812,18.7578125,0.9159088134765625
encrypt,16,2048,10000,8,2.1931209564208984,18.7578125,0.9159088134765625
encrypt,16,2048,10000,9,2.192018985748291,18.7578125,0.9159088134765625
encrypt,16,2048,10000,10,2.263469696044922,18.7578125,0.9159088134765625
encrypt,32,2048,50000,1,10.929285764694214,18.4921875,0.9029388427734375
encrypt,32,2048,50000,2,10.947912454605103,18.4921875,0.9029388427734375
encrypt,32,2048,50000,3,10.921367168426514,18.4921875,0.9029388427734375
encrypt,32,2048,50000,4,10.941516399383545,18.4921875,0.9029388427734375
encrypt,32,2048,50000,5,10.98969292640686,18.4921875,0.9029388427734375
encrypt,32,2048,50000,6,10.899307250976562,18.4921875,0.9029388427734375
encrypt,32,2048,50000,7,10.921427965164185,18.4921875,0.9029388427734375
encrypt,32,2048,50000,8,10.922012567520142,18.4921875,0.9029388427734375
encrypt,32,2048,50000,9,10.912848234176636,18.4921875,0.9029388427734375
encrypt,32,2048,50000,10,10.922295093536377,18.4921875,0.9029388427734375
encrypt,16,2048,1000,1,0.23807597160339355,18.6328125,0.9098052978515625
encrypt,16,2048,1000,2,0.23502182960510254,18.6328125,0.9098052978515625
encrypt,16,2048,1000,3,0.23476910591125488,18.6328125,0.9098052978515625
