benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
imageprocess,48,2048,2.4M,1,0.6435909271240234,135.7890625,6.6303253173828125
imageprocess,48,2048,2.4M,2,0.6321127414703369,135.7890625,6.6303253173828125
imageprocess,48,2048,2.4M,3,0.6341762542724609,135.7890625,6.6303253173828125
imageprocess,48,2048,2.4M,4,0.6387948273918272,135.7890625,6.6303253173828125
imageprocess,48,2048,2.4M,5,0.6393446922302246,136.2421875,6.6524505615234375
imageprocess,48,2048,2.4M,6,0.6339402198791504,136.2421875,6.6524505615234375
imageprocess,48,2048,2.4M,7,0.633415937423706,136.2421875,6.6524505615234375
imageprocess,48,2048,2.4M,8,0.6385700702667236,136.2421875,6.6524505615234375
imageprocess,48,2048,2.4M,9,0.6481192111968994,136.2421875,6.6524505615234375
imageprocess,48,2048,2.4M,10,0.6375422477722168,136.2421875,6.6524505615234375
imageprocess,48,2048,608K,1,0.3103179931640625,92.44140625,4.513740539550781
imageprocess,48,2048,608K,2,0.30436086654663086,92.44140625,4.513740539550781
imageprocess,48,2048,608K,3,0.3045310974121094,92.44140625,4.513740539550781
imageprocess,48,2048,608K,4,0.309619665145874,92.44140625,4.513740539550781
imageprocess,48,2048,608K,5,0.30968260765075684,92.44140625,4.513740539550781
imageprocess,48,2048,608K,6,0.30996155738830566,92.44140625,4.513740539550781
imageprocess,48,2048,608K,7,0.3055438995361328,92.44140625,4.513740539550781
imageprocess,48,2048,608K,8,0.3087754249572754,92.44140625,4.513740539550781
imageprocess,48,2048,608K,9,0.3067357540130615,92.44140625,4.513740539550781
imageprocess,48,2048,608K,10,0.3104853630065918,92.44140625,4.513740539550781
imageprocess,64,2048,4.6M,1,1.8684709072113037,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,2,1.8668408393859863,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,3,1.8636531829833984,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,4,1.8608875274658203,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,5,1.861936092376709,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,6,1.8606746196746826,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,7,1.862316608428955,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,8,1.8611888885498047,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,9,1.8586905002593994,282.80078125,13.808631896972656
imageprocess,64,2048,4.6M,10,1.8618557453155518,282.80078125,13.808631896972656
imageprocess,80,2048,12K,1,0.006995677947998047,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,2,0.009742021560668945,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,3,0.008800506591796875,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,4,0.009641647338867188,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,5,0.0099029541015625,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,6,0.01090097427368164,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,7,0.009593009948730469,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,8,0.010119915008544922,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,9,0.01089167594909668,55.62890625,2.7162551879882812
imageprocess,80,2048,12K,10,0.010241270065307617,55.62890625,2.7162551879882812
imageprocess,96,2048,2.4M,1,0.649651288986206,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,2,0.6365633010864258,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,3,0.639946460723877,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,4,0.6369442939758301,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,5,0.6364130973815918,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,6,0.6371016502380371,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,7,0.6354470252990723,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,8,0.6359801292419434,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,9,0.6366171836853027,135.3828125,6.6104888916015625
imageprocess,96,2048,2.4M,10,0.6386749744415283,135.3828125,6.6104888916015625
imageprocess,48,2048,244K,1,0.2622082233428955,86.02734375,4.200553894042969
imageprocess,48,2048,244K,2,0.25830936431884766,86.02734375,4.200553894042969
imageprocess,48,2048,244K,3,0.26521801948547363,86.02734375,4.200553894042969
imageprocess,48,2048,244K,4,0.26489877700805664,86.02734375,4.200553894042969
imageprocess,48,2048,244K,5,0.2588362693786621,86.02734375,4.200553894042969
imageprocess,48,2048,244K,6,0.2588815689086914,86.02734375,4.200553894042969
imageprocess,48,2048,244K,7,0.26259374618530273,86.02734375,4.200553894042969
imageprocess,48,2048,244K,8,0.2632558345794678,86.02734375,4.200553894042969
imageprocess,48,2048,244K,9,0.26123499870300293,86.02734375,4.200553894042969
imageprocess,48,2048,244K,10,0.26258039474487305,86.02734375,4.200553894042969
imageprocess,48,2048,184K,1,0.3268473148345947,97.55859375,4.763603210449219
imageprocess,48,2048,184K,2,0.3291175365447998,97.55859375,4.763603210449219
imageprocess,48,2048,184K,3,0.32923460006713867,97.55859375,4.763603210449219
imageprocess,48,2048,184K,4,0.33074474334716797,97.55859375,4.763603210449219
imageprocess,48,2048,184K,5,0.3251161575317383,97.55859375,4.763603210449219
imageprocess,48,2048,184K,6,0.3273775577545166,97.55859375,4.763603210449219
imageprocess,48,2048,184K,7,0.32507872581481934,97.55859375,4.763603210449219
imageprocess,48,2048,184K,8,0.32755112648010254,97.55859375,4.763603210449219
imageprocess,48,2048,184K,9,0.3284764289855957,97.55859375,4.763603210449219
imageprocess,48,2048,184K,10,0.3300180435180664,97.55859375,4.763603210449219
imageprocess,16,2048,608K,1,0.31371068954467773,91.609375,4.473114013671875
imageprocess,16,2048,608K,2,0.3110966682434082,91.609375,4.473114013671875
imageprocess,16,2048,608K,3,0.31037211418151855,91.609375,4.473114013671875
imageprocess,16,2048,608K,4,0.3067159652709961,91.609375,4.473114013671875
imageprocess,16,2048,608K,5,0.3111398220062256,91.609375,4.473114013671875
imageprocess,16,2048,608K,6,0.31048154830932617,91.609375,4.473114013671875
imageprocess,16,2048,608K,7,0.32395410537719727,91.609375,4.473114013671875
imageprocess,16,2048,608K,8,0.30657458305358887,91.609375,4.473114013671875
imageprocess,16,2048,608K,9,0.3115503787994385,91.609375,4.473114013671875
imageprocess,16,2048,608K,10,0.307478666305542,91.609375,4.473114013671875
imageprocess,48,2048,928K,1,0.5107166767120361,121.05078125,5.910682678222656
imageprocess,48,2048,928K,2,0.5089542865753174,121.05078125,5.910682678222656
imageprocess,48,2048,928K,3,0.5134384632110596,121.05078125,5.910682678222656
imageprocess,48,2048,928K,4,0.5140872001647949,121.05078125,5.910682678222656
imageprocess,48,2048,928K,5,0.5102627277374268,121.05078125,5.910682678222656
imageprocess,48,2048,928K,6,0.5122699737548828,121.05078125,5.910682678222656
imageprocess,48,2048,928K,7,0.5110635757446289,121.05078125,5.910682678222656
imageprocess,48,2048,928K,8,0.5089125633239746,121.05078125,5.910682678222656
imageprocess,48,2048,928K,9,0.5092136859893799,121.05078125,5.910682678222656
imageprocess,48,2048,928K,10,0.507904052734375,121.05078125,5.910682678222656
imageprocess,80,2048,3.4M,1,1.5183517932891846,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,2,1.517153024673462,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,3,1.5178020000457764,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,4,1.5177109241485596,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,5,1.5183064937591553,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,6,1.5168440341949463,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,7,1.519740343093872,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,8,1.5181024074554443,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,9,1.5142297744750977,244.3359375,11.930465698242188
imageprocess,80,2048,3.4M,10,1.515974760055542,244.3359375,11.930465698242188
imageprocess,64,2048,244K,1,0.2622647285461426,89.14453125,4.352760314941406
imageprocess,64,2048,244K,2,0.26114368438720703,89.14453125,4.352760314941406
imageprocess,64,2048,244K,3,0.2663893699645996,89.14453125,4.352760314941406
imageprocess,64,2048,244K,4,0.2654275894165039,89.14453125,4.352760314941406
imageprocess,64,2048,244K,5,0.26772642135620117,89.14453125,4.352760314941406
imageprocess,64,2048,244K,6,0.26468968391418457,89.14453125,4.352760314941406
imageprocess,64,2048,244K,7,0.2646043300628662,89.14453125,4.352760314941406
imageprocess,64,2048,244K,8,0.267183780670166,89.14453125,4.352760314941406
imageprocess,64,2048,244K,9,0.26349687576293945,89.14453125,4.352760314941406
imageprocess,64,2048,244K,10,0.26691150665283203,89.14453125,4.352760314941406
imageprocess,32,2048,244K,1,0.2637004852294922,86.42578125,4.220008850097656
imageprocess,32,2048,244K,2,0.26582860946655273,86.42578125,4.220008850097656
imageprocess,32,2048,244K,3,0.2650430202484131,86.42578125,4.220008850097656
imageprocess,32,2048,244K,4,0.2641921043395996,86.42578125,4.220008850097656
imageprocess,32,2048,244K,5,0.268465518951416,86.42578125,4.220008850097656
imageprocess,32,2048,244K,6,0.26235151290893555,86.42578125,4.220008850097656
imageprocess,32,2048,244K,7,0.267134428024292,86.42578125,4.220008850097656
imageprocess,32,2048,244K,8,0.26331043243408203,86.42578125,4.220008850097656
imageprocess,32,2048,244K,9,0.2666466236114502,86.42578125,4.220008850097656
imageprocess,32,2048,244K,10,0.2641139030456543,86.42578125,4.220008850097656
imageprocess,80,2048,1.2M,1,0.3730940818786621,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,2,0.40120792388916016,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,3,0.37386488914489746,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,4,0.3727121353149414,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,5,0.37488293647766113,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,6,0.37459397315979004,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,7,0.3760218620300293,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,8,0.37390828132629395,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,9,0.37134456634521484,101.0703125,4.9350738525390625
imageprocess,80,2048,1.2M,10,0.3743584156036377,101.0703125,4.9350738525390625
imageprocess,96,2048,4.6M,1,1.8688459396362305,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,2,1.863955020904541,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,3,1.8589584827423096,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,4,1.86281418800354,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,5,1.8649845123291016,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,6,1.8581771850585938,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,7,1.8584189414978027,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,8,1.8574280738830566,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,9,1.8593018054962158,283.859375,13.860321044921875
imageprocess,96,2048,4.6M,10,1.8596947193145752,283.859375,13.860321044921875
imageprocess,64,2048,80K,1,0.045404911041259766,65.109375,3.179168701171875
imageprocess,64,2048,80K,2,0.05013704299926758,65.109375,3.179168701171875
imageprocess,64,2048,80K,3,0.050572872161865234,65.109375,3.179168701171875
imageprocess,64,2048,80K,4,0.04641103744506836,65.109375,3.179168701171875
imageprocess,64,2048,80K,5,0.0489346981048584,65.109375,3.179168701171875
imageprocess,64,2048,80K,6,0.05093050003051758,65.109375,3.179168701171875
imageprocess,64,2048,80K,7,0.05024600028991699,65.109375,3.179168701171875
imageprocess,64,2048,80K,8,0.05067086219787598,65.109375,3.179168701171875
imageprocess,64,2048,80K,9,0.04832911491394043,65.109375,3.179168701171875
imageprocess,64,2048,80K,10,0.046498775482177734,65.109375,3.179168701171875
imageprocess,16,2048,384K,1,0.08324074745178223,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,2,0.08717179298400879,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,3,0.08847928047180176,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,4,0.08808231353759766,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,5,0.08720707893371582,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,6,0.08768963813781738,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,7,0.08390593528747559,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,8,0.08745145797729492,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,9,0.0877997875213623,63.80078125,3.1152725219726562
imageprocess,16,2048,384K,10,0.08760571479797363,63.80078125,3.1152725219726562
imageprocess,32,2048,2.4M,1,0.6363344192504883,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,2,0.630497932434082,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,3,0.6341204643249512,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,4,0.6305346488952637,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,5,0.6313350200653076,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,6,0.6313977241516113,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,7,0.6315021514892578,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,8,0.6306993961334229,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,9,0.6295671463012695,137.51953125,6.714820861816406
imageprocess,32,2048,2.4M,10,0.6318848133087158,137.51953125,6.714820861816406
imageprocess,80,2048,756K,1,0.5182201862335205,119.72265625,5.845832824707031
imageprocess,80,2048,756K,2,0.5160553455352783,119.72265625,5.845832824707031
imageprocess,80,2048,756K,3,0.5187325477600098,119.72265625,5.845832824707031
imageprocess,80,2048,756K,4,0.5166280269622803,119.72265625,5.845832824707031
imageprocess,80,2048,756K,5,0.5199344158172607,119.72265625,5.845832824707031
imageprocess,80,2048,756K,6,0.5182063579559326,119.72265625,5.845832824707031
imageprocess,80,2048,756K,7,0.5152573585510254,119.72265625,5.845832824707031
imageprocess,80,2048,756K,8,0.5151100158691406,119.72265625,5.845832824707031
imageprocess,80,2048,756K,9,0.5181045532226562,119.72265625,5.845832824707031
imageprocess,80,2048,756K,10,0.5191478729248047,119.72265625,5.845832824707031
imageprocess,48,2048,3.4M,1,1.5202887058258057,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,2,1.5187904834747314,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,3,1.5188679695129395,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,4,1.5196685791015625,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,5,1.5507314205169678,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,6,1.5194382667541504,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,7,1.5164577960968018,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,8,1.5180988311767578,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,9,1.518967628479004,245.0390625,11.964797973632812
imageprocess,48,2048,3.4M,10,1.5169038772583008,245.0390625,11.964797973632812
imageprocess,32,2048,1.2M,1,0.3744165897369385,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,2,0.3735525608062744,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,3,0.3733065128326416,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,4,0.3745713233947754,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,5,0.3709602355957031,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,6,0.37372803688049316,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,7,0.3705294132232666,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,8,0.37256908416748047,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,9,0.37360572814941406,99.77734375,4.871940612792969
imageprocess,32,2048,1.2M,10,0.3803527355194092,99.77734375,4.871940612792969
imageprocess,32,2048,80K,1,0.04544234275817871,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,2,0.04683184623718262,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,3,0.05069851875305176,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,4,0.0506587028503418,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,5,0.04766368865966797,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,6,0.046465158462524414,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,7,0.0464024543762207,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,8,0.04576396942138672,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,9,0.04676055908203125,63.10546875,3.0813217163085938
imageprocess,32,2048,80K,10,0.04989957809448242,63.10546875,3.0813217163085938
imageprocess,96,2048,440K,1,0.25710511207580566,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,2,0.2606315612792969,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,3,0.258089542388916,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,4,0.258558988571167,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,5,0.25778722763061523,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,6,0.2584371566772461,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,7,0.25838136672973633,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,8,0.26059722900390625,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,9,0.25832343101501465,86.6015625,4.2285919189453125
imageprocess,96,2048,440K,10,0.26058244705200195,86.6015625,4.2285919189453125
imageprocess,96,2048,384K,1,0.08385944366455078,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,2,0.08851242065429688,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,3,0.08919644355773926,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,4,0.0874643325805664,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,5,0.08902478218078613,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,6,0.08854031562805176,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,7,0.0888056755065918,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,8,0.08702778816223145,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,9,0.08891582489013672,66.8984375,3.2665252685546875
imageprocess,96,2048,384K,10,0.08473563194274902,66.8984375,3.2665252685546875
imageprocess,96,2048,244K,1,0.258880615234375,86.81640625,4.239082336425781
imageprocess,96,2048,244K,2,0.2617380619049072,86.81640625,4.239082336425781
imageprocess,96,2048,244K,3,0.26389217376708984,86.81640625,4.239082336425781
imageprocess,96,2048,244K,4,0.25980138778686523,86.81640625,4.239082336425781
imageprocess,96,2048,244K,5,0.25960230827331543,86.81640625,4.239082336425781
imageprocess,96,2048,244K,6,0.26178741455078125,86.81640625,4.239082336425781
imageprocess,96,2048,244K,7,0.26369667053222656,86.81640625,4.239082336425781
imageprocess,96,2048,244K,8,0.2594730854034424,86.81640625,4.239082336425781
imageprocess,96,2048,244K,9,0.26015472412109375,86.81640625,4.239082336425781
imageprocess,96,2048,244K,10,0.26364636421203613,86.81640625,4.239082336425781
imageprocess,16,2048,2.4M,1,0.6410274505615234,135.1328125,6.5982818603515625
imageprocess,16,2048,2.4M,2,0.6326069831848145,135.1328125,6.5982818603515625
imageprocess,16,2048,2.4M,3,0.6336855888366699,135.1328125,6.5982818603515625
imageprocess,16,2048,2.4M,4,0.6314229965209961,135.1328125,6.5982818603515625
