benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
linpack,80,2048,6000,1,3.2893285751342773,606.75,29.62646484375
linpack,80,2048,6000,2,3.4683001041412354,606.75,29.62646484375
linpack,80,2048,6000,3,3.5077009201049805,606.75,29.62646484375
linpack,80,2048,6000,4,3.682319402694702,606.75,29.62646484375
linpack,80,2048,6000,5,3.6723251342773438,606.75,29.62646484375
linpack,80,2048,6000,6,3.746276378631592,606.75,29.62646484375
linpack,80,2048,6000,7,3.9430971145629883,606.75,29.62646484375
linpack,80,2048,6000,8,4.0425615310668945,606.75,29.62646484375
linpack,80,2048,6000,9,4.079986333847046,606.75,29.62646484375
linpack,80,2048,6000,10,4.222100496292114,606.75,29.62646484375
linpack,48,2048,5000,1,3.8076205253601074,436.82421875,21.329307556152344
linpack,48,2048,5000,2,3.962401866912842,436.82421875,21.329307556152344
linpack,48,2048,5000,3,4.274160146713257,436.82421875,21.329307556152344
linpack,48,2048,5000,4,4.516702651977539,436.82421875,21.329307556152344
linpack,48,2048,5000,5,4.402911424636841,436.82421875,21.329307556152344
linpack,48,2048,5000,6,4.727666139602661,436.82421875,21.329307556152344
linpack,48,2048,5000,7,5.132846832275391,436.82421875,21.329307556152344
linpack,48,2048,5000,8,4.961668252944946,436.82421875,21.329307556152344
linpack,48,2048,5000,9,5.160269498825073,436.82421875,21.329307556152344
linpack,48,2048,5000,10,5.031181812286377,436.82421875,21.329307556152344
linpack,16,2048,500,1,1.5725915431976318,42.9296875,2.0961761474609375
linpack,16,2048,500,2,1.7029163837432861,42.9296875,2.0961761474609375
linpack,16,2048,500,3,1.7518620491027832,42.9296875,2.0961761474609375
linpack,16,2048,500,4,2.325683355331421,42.9296875,2.0961761474609375
linpack,16,2048,500,5,2.748250722885132,42.9296875,2.0961761474609375
linpack,16,2048,500,6,2.750626802444458,42.9296875,2.0961761474609375
linpack,16,2048,500,7,2.8591718673706055,42.9296875,2.0961761474609375
linpack,16,2048,500,8,2.7585973739624023,42.9296875,2.0961761474609375
linpack,16,2048,500,9,2.7510712146759033,42.9296875,2.0961761474609375
linpack,16,2048,500,10,2.7676963806152344,42.9296875,2.0961761474609375
linpack,48,2048,8000,1,5.55719256401062,1041.61328125,50.860023498535156
linpack,48,2048,8000,2,5.934180021286011,1041.61328125,50.860023498535156
linpack,48,2048,8000,3,6.2682061195373535,1041.61328125,50.860023498535156
linpack,48,2048,8000,4,6.11467170715332,1041.61328125,50.860023498535156
linpack,48,2048,8000,5,6.875848293304443,1041.61328125,50.860023498535156
linpack,48,2048,8000,6,6.725449323654175,1041.61328125,50.860023498535156
linpack,48,2048,8000,7,7.046763181686401,1041.61328125,50.860023498535156
linpack,48,2048,8000,8,7.0968897342681885,1041.61328125,50.860023498535156
linpack,48,2048,8000,9,7.059047698974609,1041.61328125,50.860023498535156
linpack,48,2048,8000,10,7.314489126205444,1041.61328125,50.860023498535156
linpack,32,2048,6000,1,6.573374271392822,607.4140625,29.658889770507812
linpack,32,2048,6000,2,7.1171348094940186,607.4140625,29.658889770507812
linpack,32,2048,6000,3,7.954975605010986,607.4140625,29.658889770507812
linpack,32,2048,6000,4,8.379703521728516,607.4140625,29.658889770507812
linpack,32,2048,6000,5,8.450072050094604,607.4140625,29.658889770507812
linpack,32,2048,6000,6,9.63640570640564,607.4140625,29.658889770507812
linpack,32,2048,6000,7,9.691710710525513,607.4140625,29.658889770507812
linpack,32,2048,6000,8,9.621784687042236,607.4140625,29.658889770507812
linpack,32,2048,6000,9,8.96460223197937,607.4140625,29.658889770507812
linpack,32,2048,6000,10,8.805598974227905,607.4140625,29.658889770507812
linpack,48,2048,7000,1,4.7585608959198,809.46875,39.52484130859375
linpack,48,2048,7000,2,5.229844093322754,809.46875,39.52484130859375
linpack,48,2048,7000,3,5.543711185455322,809.46875,39.52484130859375
linpack,48,2048,7000,4,5.9362874031066895,809.46875,39.52484130859375
linpack,48,2048,7000,5,6.415346384048462,809.46875,39.52484130859375
linpack,48,2048,7000,6,6.336694240570068,809.46875,39.52484130859375
linpack,48,2048,7000,7,6.008671522140503,809.46875,39.52484130859375
linpack,48,2048,7000,8,6.74334716796875,809.46875,39.52484130859375
linpack,48,2048,7000,9,6.729547500610352,809.46875,39.52484130859375
linpack,48,2048,7000,10,6.942643642425537,809.46875,39.52484130859375
linpack,80,2048,7000,1,3.6918931007385254,811.2578125,39.61219787597656
linpack,80,2048,7000,2,4.637523889541626,811.2578125,39.61219787597656
linpack,80,2048,7000,3,4.668668031692505,811.2578125,39.61219787597656
linpack,80,2048,7000,4,4.740825653076172,811.2578125,39.61219787597656
linpack,80,2048,7000,5,5.204939365386963,811.2578125,39.61219787597656
linpack,80,2048,7000,6,4.6230247020721436,811.2578125,39.61219787597656
linpack,80,2048,7000,7,4.642729997634888,811.2578125,39.61219787597656
linpack,80,2048,7000,8,4.599241495132446,811.2578125,39.61219787597656
linpack,80,2048,7000,9,4.455244064331055,811.2578125,39.61219787597656
linpack,80,2048,7000,10,4.770621299743652,811.2578125,39.61219787597656
linpack,32,2048,7000,1,7.321488380432129,807.6953125,39.43824768066406
linpack,32,2048,7000,2,7.285058975219727,807.6953125,39.43824768066406
linpack,32,2048,7000,3,8.410128116607666,807.6953125,39.43824768066406
linpack,32,2048,7000,4,9.21925401687622,807.6953125,39.43824768066406
linpack,32,2048,7000,5,9.938599824905396,807.6953125,39.43824768066406
linpack,32,2048,7000,6,9.38262414932251,807.6953125,39.43824768066406
linpack,32,2048,7000,7,9.526214122772217,807.6953125,39.43824768066406
linpack,32,2048,7000,8,9.678994178771973,807.6953125,39.43824768066406
linpack,32,2048,7000,9,9.86044716835022,807.6953125,39.43824768066406
linpack,32,2048,7000,10,9.371120929718018,807.6953125,39.43824768066406
linpack,48,2048,6000,1,4.429193735122681,607.49609375,29.66289520263672
linpack,48,2048,6000,2,4.8610734939575195,607.49609375,29.66289520263672
linpack,48,2048,6000,3,5.109332084655762,607.49609375,29.66289520263672
linpack,48,2048,6000,4,5.312760591506958,607.49609375,29.66289520263672
linpack,48,2048,6000,5,5.21140456199646,607.49609375,29.66289520263672
linpack,48,2048,6000,6,5.5782153606414795,607.49609375,29.66289520263672
linpack,48,2048,6000,7,5.477981090545654,607.49609375,29.66289520263672
linpack,48,2048,6000,8,5.594865798950195,607.49609375,29.66289520263672
linpack,48,2048,6000,9,5.79764723777771,607.49609375,29.66289520263672
linpack,48,2048,6000,10,5.758717060089111,607.49609375,29.66289520263672
linpack,32,2048,5000,1,6.150253534317017,435.875,21.282958984375
linpack,32,2048,5000,2,7.155110836029053,435.875,21.282958984375
linpack,32,2048,5000,3,7.033983945846558,435.875,21.282958984375
linpack,32,2048,5000,4,7.337078332901001,435.875,21.282958984375
linpack,32,2048,5000,5,7.522503614425659,435.875,21.282958984375
linpack,32,2048,5000,6,7.877766847610474,435.875,21.282958984375
linpack,32,2048,5000,7,7.87401819229126,435.875,21.282958984375
linpack,32,2048,5000,8,7.8942155838012695,435.875,21.282958984375
linpack,32,2048,5000,9,7.8217291831970215,435.875,21.282958984375
linpack,32,2048,5000,10,8.228549242019653,435.875,21.282958984375
linpack,48,2048,500,1,0.5747411251068115,44.97265625,2.1959304809570312
linpack,48,2048,500,2,0.5465426445007324,44.97265625,2.1959304809570312
linpack,48,2048,500,3,0.5734517574310303,44.97265625,2.1959304809570312
linpack,48,2048,500,4,0.6163771152496338,44.97265625,2.1959304809570312
linpack,48,2048,500,5,0.5377552509307861,44.97265625,2.1959304809570312
linpack,48,2048,500,6,0.5873112678527832,44.97265625,2.1959304809570312
linpack,48,2048,500,7,0.5482244491577148,44.97265625,2.1959304809570312
linpack,48,2048,500,8,0.5603175163269043,44.97265625,2.1959304809570312
linpack,48,2048,500,9,0.5636439323425293,44.97265625,2.1959304809570312
linpack,48,2048,500,10,0.5705306529998779,44.97265625,2.1959304809570312
linpack,16,2048,2000,1,7.739475965499878,103.70703125,5.063819885253906
linpack,16,2048,2000,2,8.888586044311523,130.06640625,6.350898742675781
linpack,16,2048,2000,3,10.140480756759644,130.06640625,6.350898742675781
linpack,16,2048,2000,4,10.663862466812134,130.06640625,6.350898742675781
linpack,16,2048,2000,5,10.140015363693237,130.06640625,6.350898742675781
linpack,16,2048,2000,6,10.926676750183105,130.06640625,6.350898742675781
linpack,16,2048,2000,7,10.95576548576355,130.06640625,6.350898742675781
