benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
matmult,48,2048,4000,1,0.4855358600616455,416.921875,20.357513427734375
matmult,48,2048,4000,2,0.575305700302124,416.921875,20.357513427734375
matmult,48,2048,4000,3,0.568732500076294,416.921875,20.357513427734375
matmult,48,2048,4000,4,0.5624275207519531,416.921875,20.357513427734375
matmult,48,2048,4000,5,0.5651881694793701,416.921875,20.357513427734375
matmult,48,2048,4000,6,0.5665457248687744,416.921875,20.357513427734375
matmult,48,2048,4000,7,0.5691707134246826,416.921875,20.357513427734375
matmult,48,2048,4000,8,0.5757403373718262,417.01171875,20.361900329589844
matmult,48,2048,4000,9,0.5139379501342773,417.08984375,20.36571502685547
matmult,48,2048,4000,10,0.45061349868774414,417.44140625,20.38288116455078
matmult,64,2048,8000,1,2.263383626937866,1529.546875,74.68490600585938
matmult,64,2048,8000,2,1.5153350830078125,1530.10546875,74.7121810913086
matmult,64,2048,8000,3,1.3366012573242188,1530.3671875,74.72496032714844
matmult,64,2048,8000,4,1.3269598484039307,1530.3671875,74.72496032714844
matmult,64,2048,8000,5,1.450221300125122,1530.56640625,74.73468780517578
matmult,64,2048,8000,6,1.2860076427459717,1530.56640625,74.73468780517578
matmult,64,2048,8000,7,1.353672981262207,1530.56640625,74.73468780517578
matmult,64,2048,8000,8,1.3421621322631836,1530.58203125,74.7354507446289
matmult,64,2048,8000,9,1.3049323558807373,1530.58984375,74.73583221435547
matmult,64,2048,8000,10,1.2944011688232422,1530.58984375,74.73583221435547
matmult,48,2048,1000,1,0.015552520751953125,60.140625,2.936553955078125
matmult,48,2048,1000,2,0.017885446548461914,60.140625,2.936553955078125
matmult,48,2048,1000,3,0.017188549041748047,60.140625,2.936553955078125
matmult,48,2048,1000,4,0.017572641372680664,60.140625,2.936553955078125
matmult,48,2048,1000,5,0.015763521194458008,60.140625,2.936553955078125
matmult,48,2048,1000,6,0.017086267471313477,60.140625,2.936553955078125
matmult,48,2048,1000,7,0.017046451568603516,60.140625,2.936553955078125
matmult,48,2048,1000,8,0.013901948928833008,60.140625,2.936553955078125
matmult,48,2048,1000,9,0.016360044479370117,60.140625,2.936553955078125
matmult,48,2048,1000,10,0.016113758087158203,60.140625,2.936553955078125
matmult,32,2048,6000,1,1.8417985439300537,880.828125,43.009185791015625
matmult,32,2048,6000,2,1.977379560470581,880.828125,43.009185791015625
matmult,32,2048,6000,3,1.8307785987854004,880.828125,43.009185791015625
matmult,32,2048,6000,4,1.3767211437225342,880.828125,43.009185791015625
matmult,32,2048,6000,5,1.3818340301513672,880.828125,43.009185791015625
matmult,32,2048,6000,6,1.506974220275879,880.828125,43.009185791015625
matmult,32,2048,6000,7,1.1694412231445312,880.828125,43.009185791015625
matmult,32,2048,6000,8,1.4337799549102783,880.828125,43.009185791015625
matmult,32,2048,6000,9,1.505061149597168,880.828125,43.009185791015625
matmult,32,2048,6000,10,1.1896543502807617,880.828125,43.009185791015625
matmult,64,2048,7000,1,1.5912470817565918,1182.71484375,57.74974822998047
matmult,64,2048,7000,2,1.6248188018798828,1182.71484375,57.74974822998047
matmult,64,2048,7000,3,1.1054236888885498,1182.71484375,57.74974822998047
matmult,64,2048,7000,4,0.9719464778900146,1182.71484375,57.74974822998047
matmult,64,2048,7000,5,0.9606704711914062,1182.71484375,57.74974822998047
matmult,64,2048,7000,6,1.0351951122283936,1182.71484375,57.74974822998047
matmult,64,2048,7000,7,1.4390461444854736,1182.71484375,57.74974822998047
matmult,64,2048,7000,8,1.2338073253631592,1182.71484375,57.74974822998047
matmult,64,2048,7000,9,0.9411063194274902,1182.71484375,57.74974822998047
matmult,64,2048,7000,10,1.0703494548797607,1182.71484375,57.74974822998047
matmult,32,2048,3000,1,0.4655611515045166,250.65234375,12.238883972167969
matmult,32,2048,3000,2,0.44454169273376465,250.65234375,12.238883972167969
matmult,32,2048,3000,3,0.4307677745819092,250.65234375,12.238883972167969
matmult,32,2048,3000,4,0.45243382453918457,251.08984375,12.260246276855469
matmult,32,2048,3000,5,0.4408743381500244,251.4453125,12.277603149414062
matmult,32,2048,3000,6,0.4117550849914551,251.4453125,12.277603149414062
matmult,32,2048,3000,7,0.4644806385040283,251.4453125,12.277603149414062
matmult,32,2048,3000,8,0.4590015411376953,251.4453125,12.277603149414062
matmult,32,2048,3000,9,0.4327068328857422,251.4453125,12.277603149414062
matmult,32,2048,3000,10,0.41184115409851074,251.4453125,12.277603149414062
matmult,16,2048,5000,1,2.494816303253174,623.55859375,30.44719696044922
matmult,16,2048,5000,2,2.599344491958618,623.55859375,30.44719696044922
matmult,16,2048,5000,3,2.1839685440063477,623.55859375,30.44719696044922
matmult,16,2048,5000,4,2.405014753341675,623.55859375,30.44719696044922
matmult,16,2048,5000,5,2.356682300567627,623.55859375,30.44719696044922
matmult,16,2048,5000,6,1.9668307304382324,623.55859375,30.44719696044922
matmult,16,2048,5000,7,2.152810573577881,623.55859375,30.44719696044922
matmult,16,2048,5000,8,1.853179931640625,623.55859375,30.44719696044922
matmult,16,2048,5000,9,1.8127214908599854,623.55859375,30.44719696044922
matmult,16,2048,5000,10,1.4226880073547363,623.55859375,30.44719696044922
matmult,48,2048,8000,1,2.937882423400879,1530.0546875,74.70970153808594
matmult,48,2048,8000,2,2.840859889984131,1530.0546875,74.70970153808594
matmult,48,2048,8000,3,1.8797683715820312,1530.0546875,74.70970153808594
matmult,48,2048,8000,4,1.6699752807617188,1530.0546875,74.70970153808594
matmult,48,2048,8000,5,1.8043663501739502,1530.0546875,74.70970153808594
matmult,48,2048,8000,6,1.8123178482055664,1530.0546875,74.70970153808594
matmult,48,2048,8000,7,1.771338701248169,1530.0546875,74.70970153808594
matmult,48,2048,8000,8,1.699706792831421,1530.0546875,74.70970153808594
matmult,48,2048,8000,9,1.6803622245788574,1530.0546875,74.70970153808594
matmult,48,2048,8000,10,1.7557101249694824,1530.0546875,74.70970153808594
matmult,80,2048,6000,1,1.0859489440917969,879.6953125,42.95387268066406
matmult,80,2048,6000,2,0.811331033706665,880.3125,42.9840087890625
matmult,80,2048,6000,3,0.718142032623291,880.8359375,43.00956726074219
matmult,80,2048,6000,4,0.7293071746826172,880.8359375,43.00956726074219
matmult,80,2048,6000,5,0.7171261310577393,880.8359375,43.00956726074219
matmult,80,2048,6000,6,0.7414035797119141,880.8359375,43.00956726074219
matmult,80,2048,6000,7,0.7247977256774902,880.8359375,43.00956726074219
matmult,80,2048,6000,8,0.7240612506866455,880.8359375,43.00956726074219
matmult,80,2048,6000,9,0.7336068153381348,880.8359375,43.00956726074219
matmult,80,2048,6000,10,0.7213089466094971,880.8359375,43.00956726074219
matmult,16,2048,4000,1,1.0904412269592285,413.78515625,20.20435333251953
matmult,16,2048,4000,2,1.204359769821167,413.78515625,20.20435333251953
matmult,16,2048,4000,3,1.135394811630249,413.78515625,20.20435333251953
matmult,16,2048,4000,4,1.066340446472168,413.78515625,20.20435333251953
matmult,16,2048,4000,5,1.0509488582611084,413.78515625,20.20435333251953
matmult,16,2048,4000,6,1.0422694683074951,413.78515625,20.20435333251953
matmult,16,2048,4000,7,1.3129255771636963,413.78515625,20.20435333251953
matmult,16,2048,4000,8,1.0560410022735596,413.78515625,20.20435333251953
matmult,16,2048,4000,9,1.0412342548370361,413.78515625,20.20435333251953
matmult,16,2048,4000,10,0.834606409072876,413.78515625,20.20435333251953
matmult,16,2048,6000,1,3.72359037399292,881.11328125,43.023109436035156
matmult,16,2048,6000,2,3.5754733085632324,881.11328125,43.023109436035156
matmult,16,2048,6000,3,3.3964967727661133,881.11328125,43.023109436035156
matmult,16,2048,6000,4,2.3662495613098145,881.11328125,43.023109436035156
matmult,16,2048,6000,5,2.475590467453003,881.11328125,43.023109436035156
matmult,16,2048,6000,6,2.7117631435394287,881.11328125,43.023109436035156
matmult,16,2048,6000,7,3.35951828956604,881.11328125,43.023109436035156
matmult,16,2048,6000,8,2.3292949199676514,881.11328125,43.023109436035156
matmult,16,2048,6000,9,2.3197686672210693,881.11328125,43.023109436035156
matmult,16,2048,6000,10,2.797661304473877,881.11328125,43.023109436035156
matmult,32,2048,1000,1,0.04759812355041504,62.5546875,3.0544281005859375
matmult,32,2048,1000,2,0.013825654983520508,62.5546875,3.0544281005859375
matmult,32,2048,1000,3,0.01433253288269043,62.5546875,3.0544281005859375
matmult,32,2048,1000,4,0.014316082000732422,62.5546875,3.0544281005859375
matmult,32,2048,1000,5,0.014168262481689453,62.5546875,3.0544281005859375
matmult,32,2048,1000,6,0.014171838760375977,62.5546875,3.0544281005859375
matmult,32,2048,1000,7,0.014208555221557617,62.5546875,3.0544281005859375
matmult,32,2048,1000,8,0.014606237411499023,62.5546875,3.0544281005859375
matmult,32,2048,1000,9,0.013971328735351562,62.5546875,3.0544281005859375
matmult,32,2048,1000,10,0.013239622116088867,62.5546875,3.0544281005859375
matmult,32,2048,500,1,0.004664421081542969,43.51171875,2.1245956420898438
matmult,32,2048,500,2,0.0041582584381103516,43.51171875,2.1245956420898438
matmult,32,2048,500,3,0.004762172698974609,43.51171875,2.1245956420898438
matmult,32,2048,500,4,0.004355669021606445,43.51171875,2.1245956420898438
matmult,32,2048,500,5,0.0042421817779541016,43.51171875,2.1245956420898438
matmult,32,2048,500,6,0.0036699771881103516,43.51171875,2.1245956420898438
matmult,32,2048,500,7,0.004593610763549805,43.51171875,2.1245956420898438
matmult,32,2048,500,8,0.004594087600708008,43.51171875,2.1245956420898438
matmult,32,2048,500,9,0.004756450653076172,43.51171875,2.1245956420898438
matmult,32,2048,500,10,0.004671573638916016,43.51171875,2.1245956420898438
matmult,96,2048,5000,1,0.6662204265594482,624.828125,30.509185791015625
matmult,96,2048,5000,2,0.6839139461517334,624.828125,30.509185791015625
matmult,96,2048,5000,3,0.689856767654419,624.828125,30.509185791015625
matmult,96,2048,5000,4,0.6755161285400391,624.828125,30.509185791015625
matmult,96,2048,5000,5,0.6827213764190674,624.828125,30.509185791015625
matmult,96,2048,5000,6,0.5722236633300781,624.828125,30.509185791015625
matmult,96,2048,5000,7,0.6764872074127197,624.828125,30.509185791015625
matmult,96,2048,5000,8,0.4499533176422119,624.828125,30.509185791015625
matmult,96,2048,5000,9,0.6075537204742432,624.828125,30.509185791015625
matmult,96,2048,5000,10,0.6802785396575928,624.828125,30.509185791015625
matmult,48,2048,3000,1,0.2590036392211914,249.9453125,12.204360961914062
matmult,48,2048,3000,2,0.23558354377746582,249.9453125,12.204360961914062
matmult,48,2048,3000,3,0.2580876350402832,249.9453125,12.204360961914062
matmult,48,2048,3000,4,0.2644164562225342,249.9453125,12.204360961914062
matmult,48,2048,3000,5,0.25913333892822266,249.9453125,12.204360961914062
matmult,48,2048,3000,6,0.2604954242706299,249.9453125,12.204360961914062
matmult,48,2048,3000,7,0.2359302043914795,249.9453125,12.204360961914062
matmult,48,2048,3000,8,0.2385091781616211,249.9453125,12.204360961914062
matmult,48,2048,3000,9,0.23818635940551758,249.9453125,12.204360961914062
matmult,48,2048,3000,10,0.26067590713500977,249.9453125,12.204360961914062
matmult,64,2048,6000,1,1.0166635513305664,880.27734375,42.98229217529297
matmult,64,2048,6000,2,1.0457730293273926,880.27734375,42.98229217529297
matmult,64,2048,6000,3,1.0777099132537842,880.27734375,42.98229217529297
matmult,64,2048,6000,4,1.0778722763061523,880.27734375,42.98229217529297
matmult,64,2048,6000,5,0.7860147953033447,880.27734375,42.98229217529297
matmult,64,2048,6000,6,0.8399515151977539,880.27734375,42.98229217529297
matmult,64,2048,6000,7,0.6945760250091553,880.27734375,42.98229217529297
matmult,64,2048,6000,8,0.6881656646728516,880.27734375,42.98229217529297
matmult,64,2048,6000,9,0.8011603355407715,880.27734375,42.98229217529297
matmult,64,2048,6000,10,0.6930780410766602,880.27734375,42.98229217529297
matmult,64,2048,500,1,0.004935264587402344,41.578125,2.030181884765625
matmult,64,2048,500,2,0.0038406848907470703,41.578125,2.030181884765625
matmult,64,2048,500,3,0.005102634429931641,41.578125,2.030181884765625
matmult,64,2048,500,4,0.004544258117675781,41.578125,2.030181884765625
matmult,64,2048,500,5,0.005959749221801758,41.578125,2.030181884765625
matmult,64,2048,500,6,0.005526304244995117,41.578125,2.030181884765625
matmult,64,2048,500,7,0.005766391754150391,41.578125,2.030181884765625
matmult,64,2048,500,8,0.005385637283325195,41.578125,2.030181884765625
matmult,64,2048,500,9,0.006308794021606445,41.578125,2.030181884765625
matmult,64,2048,500,10,0.005621671676635742,41.578125,2.030181884765625
matmult,80,2048,4000,1,0.3805668354034424,414.78125,20.25299072265625
matmult,80,2048,4000,2,0.382396936416626,414.78125,20.25299072265625
matmult,80,2048,4000,3,0.38306617736816406,414.78125,20.25299072265625
matmult,80,2048,4000,4,0.3868296146392822,414.78125,20.25299072265625
matmult,80,2048,4000,5,0.3816409111022949,414.78125,20.25299072265625
matmult,80,2048,4000,6,0.38721203804016113,414.78125,20.25299072265625
matmult,80,2048,4000,7,0.38286566734313965,414.78125,20.25299072265625
