benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
speech2text,48,2048,48K,1,0.07958555221557617,233.0078125,11.377334594726562
speech2text,48,2048,48K,2,0.08164548873901367,233.0078125,11.377334594726562
speech2text,48,2048,48K,3,0.08526372909545898,233.0078125,11.377334594726562
speech2text,48,2048,48K,4,0.0777592658996582,233.0078125,11.377334594726562
speech2text,48,2048,48K,5,0.07874250411987305,233.26953125,11.390113830566406
speech2text,48,2048,48K,6,0.08260273933410645,233.26953125,11.390113830566406
speech2text,48,2048,48K,7,0.07732534408569336,233.26953125,11.390113830566406
speech2text,48,2048,48K,8,0.07791781425476074,233.26953125,11.390113830566406
speech2text,48,2048,48K,9,0.0778813362121582,233.26953125,11.390113830566406
speech2text,16,2048,48K,1,0.07809901237487793,233.26953125,11.390113830566406
speech2text,16,2048,48K,2,0.08067679405212402,233.26953125,11.390113830566406
speech2text,16,2048,48K,3,0.08098816871643066,233.26953125,11.390113830566406
speech2text,16,2048,48K,4,0.07854080200195312,233.26953125,11.390113830566406
speech2text,16,2048,48K,5,0.07813811302185059,233.26953125,11.390113830566406
speech2text,16,2048,48K,6,0.08157658576965332,233.26953125,11.390113830566406
speech2text,16,2048,48K,7,0.08357477188110352,233.26953125,11.390113830566406
speech2text,16,2048,48K,8,0.07969450950622559,233.26953125,11.390113830566406
speech2text,16,2048,48K,9,0.07970952987670898,233.26953125,11.390113830566406
speech2text,16,2048,48K,10,0.07875204086303711,233.26953125,11.390113830566406
speech2text,96,2048,12M,1,21.890257835388184,233.7421875,11.413192749023438
speech2text,96,2048,12M,2,21.398194074630737,233.7421875,11.413192749023438
speech2text,96,2048,12M,3,21.657442808151245,234.984375,11.473846435546875
speech2text,96,2048,12M,4,21.58086395263672,235.25,11.48681640625
speech2text,96,2048,12M,5,21.90295386314392,235.3671875,11.492538452148438
speech2text,96,2048,12M,6,21.380744695663452,235.3671875,11.492538452148438
speech2text,96,2048,12M,7,21.537250995635986,232.9765625,11.375808715820312
speech2text,96,2048,12M,8,21.359766960144043,232.9765625,11.375808715820312
speech2text,48,2048,1.4M,1,2.453839063644409,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,2,2.46433162689209,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,3,2.4603915214538574,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,4,2.4735195636749268,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,5,2.448664903640747,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,6,2.4525203704833984,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,7,2.44948148727417,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,8,2.5172793865203857,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,9,2.450761318206787,233.0390625,11.378860473632812
speech2text,48,2048,1.4M,10,2.4755589962005615,233.0390625,11.378860473632812
speech2text,16,2048,8.3M,1,15.709834098815918,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,2,14.999614238739014,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,3,14.998731851577759,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,4,15.070865392684937,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,5,15.101594686508179,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,6,15.112275123596191,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,7,15.0393967628479,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,8,15.36851716041565,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,9,15.08410096168518,233.7890625,11.415481567382812
speech2text,16,2048,8.3M,10,15.094007730484009,233.7890625,11.415481567382812
speech2text,16,2048,1.4M,1,2.453383445739746,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,2,2.4568939208984375,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,3,2.458991289138794,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,4,2.5387325286865234,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,5,2.457341432571411,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,6,2.458160638809204,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,7,2.4642245769500732,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,8,2.5748512744903564,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,9,2.4553146362304688,233.87890625,11.419868469238281
speech2text,16,2048,1.4M,10,2.5679070949554443,233.87890625,11.419868469238281
speech2text,96,2048,1.4M,1,2.4615604877471924,233.56640625,11.404609680175781
speech2text,96,2048,1.4M,2,2.467296600341797,233.56640625,11.404609680175781
