benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util
videoprocess,80,2048,660K,1,0.20543646812438965,47.828125,2.335357666015625
videoprocess,80,2048,660K,2,0.19618988037109375,47.828125,2.335357666015625
videoprocess,80,2048,660K,3,0.1974935531616211,47.828125,2.335357666015625
videoprocess,80,2048,660K,4,0.19261980056762695,47.828125,2.335357666015625
videoprocess,80,2048,660K,5,0.19751787185668945,47.828125,2.335357666015625
videoprocess,80,2048,660K,6,0.191009521484375,47.828125,2.335357666015625
videoprocess,80,2048,660K,7,0.19144439697265625,47.828125,2.335357666015625
videoprocess,80,2048,660K,8,0.19690251350402832,47.828125,2.335357666015625
videoprocess,80,2048,660K,9,0.18882036209106445,47.828125,2.335357666015625
videoprocess,80,2048,660K,10,0.19122886657714844,47.828125,2.335357666015625
videoprocess,80,2048,11M,1,19.088234901428223,891.58203125,43.534278869628906
videoprocess,80,2048,11M,2,18.623597621917725,911.4765625,44.50569152832031
videoprocess,80,2048,11M,3,18.50192904472351,918.63671875,44.855308532714844
videoprocess,80,2048,11M,4,18.36133360862732,918.97265625,44.87171173095703
videoprocess,80,2048,11M,5,18.227296590805054,918.97265625,44.87171173095703
videoprocess,80,2048,11M,6,18.281012296676636,923.11328125,45.073890686035156
videoprocess,80,2048,11M,7,18.40542984008789,924.27734375,45.13072967529297
videoprocess,80,2048,11M,8,18.17340087890625,926.0234375,45.21598815917969
videoprocess,80,2048,11M,9,18.29752516746521,926.5,45.2392578125
videoprocess,80,2048,11M,10,18.399258852005005,927.8828125,45.30677795410156
videoprocess,48,2048,4.9M,1,2.8685951232910156,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,2,2.8351240158081055,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,3,2.9157111644744873,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,4,2.923764228820801,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,5,2.7863526344299316,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,6,2.7866082191467285,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,7,2.8355109691619873,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,8,2.8177881240844727,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,9,2.821474552154541,59.20703125,2.8909683227539062
videoprocess,48,2048,4.9M,10,2.8836045265197754,59.20703125,2.8909683227539062
videoprocess,96,2048,5.6M,1,7.044768810272217,249.52734375,12.183952331542969
videoprocess,96,2048,5.6M,2,7.017240762710571,249.52734375,12.183952331542969
videoprocess,96,2048,5.6M,3,7.6179399490356445,249.52734375,12.183952331542969
videoprocess,96,2048,5.6M,4,7.4467222690582275,249.74609375,12.194633483886719
videoprocess,96,2048,5.6M,5,7.418888330459595,251.09765625,12.260627746582031
videoprocess,96,2048,5.6M,6,7.332086563110352,252.09765625,12.309455871582031
videoprocess,96,2048,5.6M,7,7.170862197875977,253.91796875,12.398338317871094
videoprocess,96,2048,5.6M,8,7.137952566146851,254.62890625,12.433052062988281
videoprocess,96,2048,5.6M,9,7.040616273880005,255.29296875,12.465476989746094
videoprocess,96,2048,5.6M,10,7.25250768661499,255.80859375,12.490653991699219
videoprocess,48,2048,404K,1,0.5111157894134521,257.5234375,12.574386596679688
videoprocess,48,2048,404K,2,0.4881746768951416,257.5234375,12.574386596679688
videoprocess,48,2048,404K,3,0.5166015625,257.90625,12.59307861328125
videoprocess,48,2048,404K,4,0.47495102882385254,259.39453125,12.665748596191406
videoprocess,48,2048,404K,5,0.4968736171722412,260.421875,12.715911865234375
videoprocess,48,2048,404K,6,0.4567298889160156,261.8046875,12.783432006835938
videoprocess,48,2048,404K,7,0.43116259574890137,263.12890625,12.848091125488281
videoprocess,48,2048,404K,8,0.4357335567474365,263.6875,12.8753662109375
videoprocess,48,2048,404K,9,0.44014763832092285,264.34765625,12.907600402832031
videoprocess,48,2048,404K,10,0.43160271644592285,265.44140625,12.961006164550781
videoprocess,48,2048,660K,1,0.20114350318908691,48.9375,2.3895263671875
videoprocess,48,2048,660K,2,0.1876821517944336,48.9375,2.3895263671875
videoprocess,48,2048,660K,3,0.19869136810302734,48.9375,2.3895263671875
videoprocess,48,2048,660K,4,0.19293594360351562,48.9375,2.3895263671875
videoprocess,48,2048,660K,5,0.20129680633544922,48.9375,2.3895263671875
videoprocess,48,2048,660K,6,0.18984007835388184,48.9375,2.3895263671875
videoprocess,48,2048,660K,7,0.18529844284057617,48.9375,2.3895263671875
videoprocess,48,2048,660K,8,0.1889784336090088,48.9375,2.3895263671875
videoprocess,48,2048,660K,9,0.19197940826416016,48.9375,2.3895263671875
videoprocess,48,2048,660K,10,0.20052051544189453,48.9375,2.3895263671875
videoprocess,64,2048,6.1M,1,4.6553733348846436,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,2,4.61006236076355,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,3,4.789411783218384,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,4,4.745908975601196,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,5,4.924252986907959,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,6,4.789189577102661,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,7,4.969580411911011,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,8,4.986676931381226,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,9,4.755533456802368,63.4140625,3.0963897705078125
videoprocess,64,2048,6.1M,10,4.766541957855225,63.4140625,3.0963897705078125
videoprocess,80,2048,3.8M,1,5.299575090408325,208.8828125,10.199356079101562
videoprocess,80,2048,3.8M,2,5.093047618865967,208.8828125,10.199356079101562
videoprocess,80,2048,3.8M,3,5.0720055103302,208.9453125,10.202407836914062
videoprocess,80,2048,3.8M,4,5.2429492473602295,209.87890625,10.247993469238281
videoprocess,80,2048,3.8M,5,5.220788240432739,211.9140625,10.347366333007812
videoprocess,80,2048,3.8M,6,5.115817308425903,213.57421875,10.428428649902344
videoprocess,80,2048,3.8M,7,5.133822679519653,214.76953125,10.486793518066406
videoprocess,80,2048,3.8M,8,5.064549207687378,215.79296875,10.536766052246094
videoprocess,80,2048,3.8M,9,5.084865570068359,217.25,10.60791015625
